longitude,latitude,type,
116107600,39911395,0,
116093333,39968857,0,
116185663,39799735,1,
116380738,39610423,2,
116190317,39921835,1,
116439433,39900127,2,
116358183,39867025,2,
116378400,39853733,0,
116289233,39910135,3,
116408298,39804307,1,
116097550,39882242,0,
115864433,39567263,4,
116813377,40367095,4,
116060550,39678282,0,
116417492,39902742,2,
116258767,40143625,4,
116121437,39730258,1,
115977583,40008720,2,
116113762,40078358,3,
116502033,40008280,3,
116509417,40012840,1,
116178672,40083960,4,
115948617,39825497,3,
116327142,39982317,3,
116783800,39662748,2,
115938517,39658437,4,
116611515,40052858,0,
116304133,39899472,1,
116350562,39889025,1,
116319537,40122575,2,
116586440,40325303,1,
116359407,39897030,3,
116397685,40178285,4,
116225667,39882622,3,
116236950,39838033,3,
116357388,39892907,3,
116553157,39950542,0,
116420880,39848205,4,
116446350,39626157,2,
116446350,39626157,3,
116346350,39526463,0,
115938183,39658283,4,
116835330,40383328,2,
116209740,39806058,0,
116396517,39866423,0,
116015125,39688563,3,
115946200,39724050,1,
